English word,French word,Frequency
figure,figure,41
finds,trouve,42
finger,doigt,66
first,première,1172
flatter,flatter,54
flesh,la chair,138
flies,mouches,58
flight,vol,53
flood,inonder,47
flourish,fleurir,137
flower,fleur,50
flowers,fleurs,46
follow,suivre,336
folly,folie,80
foolish,insensé,97
fools,imbéciles,104
forbear,ancêtre,58
forbid,interdire,74
force,Obliger,107
forces,les forces,44
forest,forêt,71
forget,oublier,95
former,ancien,63
forsooth,en vérité,48
forth,en avant,372
fortune,fortune,362
forward,vers l'avant,90
fought,combattu,66
found,a trouvé,229
fourth,Quatrième,51
frame,Cadre,46
freely,librement,55
fresh,Frais,90
friend,ami,446
frown,froncer les sourcils,52
fruit,fruit,37
further,plus loin,190
gallant,galant,55
garden,jardin,47
gates,portes,101
gaunt,décharné,72
general,général,216
gentle,doux,372
ghost,fantôme,86
given,donné,191
giving,donnant,60
glass,verre,68
glorious,glorieux,41
glory,gloire,88
going,Aller,109
golden,d'or,91
goodness,la bonté,56
grace,la grâce,597
grant,subvention,111
grave,la tombe,184
great,génial,921
green,vert,114
greet,saluer,43
grief,douleur,217
grieve,pleurer,40
gross,brut,56
ground,sol,165
grown,grandi,61
guard,garde,129
guess,devine,53
guilty,coupable,71
habit,habitude,39
hands,mains,319
hanging,pendaison,41
hangs,bloque,37
happiness,bonheur,57
happy,heureux,204
haste,hâte,163
hateful,odieux,39
having,ayant,156
hazard,danger,41
heads,têtes,110
health,santé,103
heard,entendu,349
heart,cœur,1061
heaven,paradis,654
heavy,lourd,169
heels,talons,73
hence,Par conséquent,368
henceforth,désormais,40
hereafter,"ci-après, par la suite",48
herself,se,98
highness,altesse,189
holds,tient,82
hollow,creux,49
honest,honnête,289
horse,cheval,243
hostess,hôtesse,112
hours,heures,141
house,maison,569
humble,humble,72
humour,humour,90
hundred,cent,115
husband,mari,327
ignorant,ignorant,48
image,image,46
includes,comprend,223
indeed,En effet,438
infinite,infini,38
innocent,innocent,52
instant,instant,61
intend,avoir l'intention,54
intent,intention,50
issue,problème,111
itself,lui-même,240
jealous,jaloux,50
jewel,bijou,60
judge,juge,92
judgment,jugement,104
julia,Julia,153
justice,Justice,381
keeps,garde,76
kindness,la gentillesse,52
kingdom,Royaume,102
kings,rois,117
knave,fripon,174
kneel,s'agenouiller,72
knees,les genoux,51
knife,couteau,55
knight,Chevalier,136
knock,frappe,83
knowing,connaissance,47
knowledge,connaissance,78
known,connu,188
knows,sait,213
labour,la main d'oeuvre,95
ladies,Dames,145
ladyship,Madame,44
lands,terres,54
large,grand,72
laugh,rire,113
lawful,légitime,61
learn,apprendre,120
learned,appris,50
least,moins,101
leave,laisser,657
leisure,loisir,63
letter,lettre,247
liberty,liberté,73
library,bibliothèque,232
liege,Liege,281
lieutenant,lieutenant,78
light,lumière,270
limbs,membres,47
little,peu,483
lives,vies,205
living,vivant,121
longer,plus long,112
looks,regards,214
loose,ample,50
lords,seigneurs,466
lordship,seigneurie,124
lovely,charmant,53
lovers,les amoureux,61
loves,aime,198
loving,aimant,118
machine,machine,223
madness,la démence,68
maiden,jeune fille,50
maids,servantes,44
maintain,maintenir,53
majesty,majesté,270
makes,fait du,356
making,fabrication,83
malice,malice,72
manner,manière,81
march,Mars,133
marriage,mariage,119
marry,marier,366
master,Maître,844
match,rencontre,99
matter,matière,357
meaning,sens,60
means,veux dire,264
meant,signifiait,53
measure,mesure,95
meeting,réunion,53
memory,Mémoire,58
merchant,marchande,67
mercy,pitié,182
merit,mérite,51
merry,joyeux,170
messenger,Messager,300
midnight,minuit,43
might,pourrait,500
mighty,puissant,110
minds,esprits,56
minister,ministre,38
mirth,gaieté,52
mischief,sottises,42
misery,misère,39
mistake,erreur,40
mistress,maîtresse,453
modest,modeste,38
money,argent,187
monster,monstre,83
month,mois,44
morning,Matin,132
morrow,demain,326
mortal,mortel,98
mother,mère,437
motion,mouvement,81
mouth,bouche,145
murder,meurtre,76
murther,aller plus loin,59
music,la musique,203
myself,moi même,567
naked,nu,52
names,des noms,49
native,originaire de,43
natural,Naturel,58
nature,la nature,385
needs,Besoins,147
neighbour,voisine,58
neither,ni,186
never,jamais,1020
niece,nièce,64
night,nuit,816
noble,noble,616
noise,bruit,110
nothing,rien,636
nought,néant,58
number,nombre,55
nurse,infirmière,209
oaths,serments,69
obedience,obéissance,52
object,objet,39
occasion,occasion,74
offence,infraction,96
offend,offenser,60
offer,offre,108
office,Bureau,128
often,souvent,124
opinion,opinion,84
order,ordre,94
other,autre,712
others,autres,420
ourselves,nous-mêmes,115
outward,vers l'extérieur,50
pains,des douleurs,91
painted,peint,53
painter,peintre,45
palace,palais,160
paper,papier,106
pardon,pardon,310
paris,Paris,138
parted,séparé,47
particular,particulier,56
partly,partiellement,35
parts,les pièces,111
party,fête,51
passage,passage,35
passion,la passion,108
patience,la patience,190
patient,patient,90
peace,paix,539
people,gens,220
perceive,apercevoir,92
perfect,parfait,55
perhaps,peut-être,45
peril,péril,43
permission,autorisation,225
person,la personne,152
personal,personnel,234
picture,image,43
piece,pièce,90
pistol,pistolet,187
place,endroit,457
plague,peste,94
plain,plaine,121
plead,plaider,48
please,S'il vous plaît,396
pleasure,plaisir,180
pluck,cueillir,139
point,point,147
poison,poison,95
policy,politique,45
porter,porter,134
possible,possible,58
pound,livre,54
power,Puissance,307
practice,entraine toi,41
praise,louange,182
prayers,prières,85
precious,précieux,78
prepare,préparer,65
presence,présence,106
present,présent,246
pretty,jolie,117
pride,fierté,111
priest,prêtre,72
prince,prince,772
prison,prison,92
private,privé,66
prize,prix,47
proceed,procéder,72
proclaim,proclamer,61
profit,profit,39
project,projet,251
prologue,prologue,40
promise,promettre,108
proof,preuve,82
proper,correct,65
protector,protecteur,56
protest,manifestation,53
proud,fier,213
prove,prouver,252
provided,à condition de,253
public,Publique,57
purpose,objectif,208
purse,bourse,88
quality,qualité,55
quarrel,querelle,98
queen,reine,979
question,question,156
quick,rapide,111
quiet,silencieux,77
quite,assez,86
quoth,quoth,66
raise,élever,47
ransom,une rançon,59
rascal,coquin,61
rather,plutôt,322
readable,lisible,224
ready,prêt,143
realm,domaine,53
reason,raison,288
receive,recevoir,98
regard,qui concerne,43
reign,règne,48
remain,rester,66
remedy,remède,59
remember,rappelles toi,191
render,rendre,46
repair,réparation,46
repent,se repentir,59
report,rapport,148
reputation,réputation,47
request,demande,67
respect,le respect,101
return,revenir,247
revenge,vengeance,155
reverence,révérence,44
revolt,révolte,42
right,droite,352
rivers,rivières,58
rogue,coquin,81
rotten,pourri,38
rough,rugueux,72
round,rond,75
royal,Royal,418
sacred,sacré,47
safety,sécurité,74
saint,Saint,154
satisfied,satisfait,48
saying,en disant,56
scarce,rare,73
scene,scène,799
scorn,mépris,108
search,chercher,50
season,saison,47
second,seconde,572
secret,secret,65
seeing,voyant,53
senator,sénateur,91
sense,sens,125
sentence,phrase,39
servant,serviteur,429
serve,servir,187
service,un service,444
seven,Sept,72
several,nombreuses,79
shadow,ombre,81
shake,secouer,102
shall,doit,3600
shame,la honte,307
shape,forme,87
sharp,tranchant,71
shepherd,berger,126
shine,éclat,45
shore,rive,57
short,court,106
shortly,prochainement,46
should,devrait,1580
shows,montre,103
sickness,maladie,54
sight,vue,201
silence,silence,112
silver,argent,69
simple,Facile,117
since,depuis,449
single,Célibataire,59
sirrah,sirrah,148
sister,sœur,204
skill,compétence,52
slain,tué,127
slander,calomnie,53
slave,esclave,132
sleep,sommeil,264
slender,mince,111
small,petit,101
smell,odeur,51
smile,sourire,77
soldier,soldat,272
solemn,solennel,41
something,quelque chose,183
sometime,parfois,77
sooner,plus tôt,62
soothsayer,devin,43
sorrow,chagrin,193
sorry,Pardon,92
sought,recherché,37
souls,âmes,114
sound,du son,218
sovereign,souverain,154
spare,de rechange,61
speak,parler,1206
speaks,parle,128
special,spécial,38
speech,discours,128
speed,la vitesse,240
spend,dépenser,68
spirit,esprit,265
spite,dépit,59
spoke,parlait,148
sport,sport,123
spring,printemps,62
staff,Personnel,41
stain,tache,67
stand,supporter,586
stars,étoiles,71
state,Etat,310
steal,voler,84
steel,acier,70
steward,intendant,47
still,encore,564
stomach,estomac,44
stone,calcul,67
stood,se tenait,93
store,boutique,40
storm,orage,59
story,récit,67
straight,tout droit,153
strange,étrange,252
street,rue,83
strength,force,124
strike,la grève,154
stroke,accident vasculaire cérébral,40
strong,fort,196
struck,frappé,76
study,étude,65
stuff,des trucs,64
subject,matière,105
substance,substance,41
success,Succès,48
sudden,soudain,79
suddenly,tout à coup,50
suffer,souffrir,107
summer,été,89
supper,souper,62
surely,sûrement,40
suspect,suspect,38
swear,jurer,265
sweat,transpiration,39
sweet,sucré,807
swift,rapide,70
sword,épée,355
swore,juré,51
sworn,juré,133
table,table,60
tailor,tailleur,51
taken,pris,94
tarry,goudronneux,45
taste,goût,80
taught,enseigné,50
teach,enseigner,104
tears,larmes,284
tedious,fastidieux,45
teeth,les dents,56
tells,raconte,42
tempest,tempête,44
tender,soumissionner,149
terms,termes,75
thank,remercier,294
their,leur,2077
themselves,se,159
there,Là,2210
therefore,par conséquent,627
therein,la bride,56
these,celles-ci,1325
thief,voleur,68
thing,chose,359
think,pense,1074
third,troisième,244
those,ceux,547
though,bien que,634
thought,pensée,377
thrive,prospérer,56
throat,gorge,51
throne,trône,67
through,par,263
throw,jeter,106
thrust,poussée,54
thunder,tonnerre,71
times,fois,208
title,Titre,91
together,ensemble,257
tongue,langue,420
tonight,ce soir,49
touch,toucher,164
toward,vers,103
tower,la tour,81
train,train,133
traitor,traitre,134
tread,bande de roulement,43
treason,trahison,92
treasure,Trésor,53
trial,procès,60
tribunes,tribunes,67
trick,tour,53
triumph,triomphe,48
trouble,difficulté,77
truly,vraiment,172
trumpet,trompette,90
trust,confiance,176
truth,vérité,338
turns,se tourne,55
twice,deux fois,72
tyrant,tyran,60
uncle,oncle,211
under,sous,298
understand,comprendre,98
undertake,entreprendre,45
undone,défait,55
unhappy,malheureux,39
unknown,inconnue,44
unless,sauf si,153
until,jusqu'à,76
unworthy,indigne,36
utter,prononcer,43
valiant,vaillant,156
valour,valeur,101
vantage,avantage,40
vengeance,vengeance,207
version,version,222
victory,la victoire,47
villain,scélérat,253
viola,alto,142
violent,violent,41
virtue,vertu,195
visit,visite,55
voice,voix,158
walls,des murs,85
warlike,guerrier,58
warrant,mandat,176
waste,déchets,44
watch,regarder,207
water,eau,149
wealth,richesse,72
weapons,armes,42
weary,se lasser,78
weeds,mauvaises herbes,44
weeping,larmes,60
weight,poids,44
welcome,Bienvenue,366
wench,jeune fille,62
whence,d'où,75
where,où,1347
wherein,où,132
whether,qu'il s'agisse,97
which,lequel,2322
while,tandis que,247
whither,où,88
whole,entier,121
whore,putain,48
whose,dont,618
widow,veuve,123
willing,prêt,40
window,la fenêtre,50
wings,ailes,55
winter,hiver,73
wisdom,sagesse,97
witch,sorcière,94
withal,avec,142
within,dans,494
without,sans pour autant,368
witness,témoin,128
wives,épouses,62
woman,femme,419
wonder,merveille,121
works,travaux,249
world,monde,905
worse,pire,161
worship,culte,104
worth,vaut,205
would,aurait,2301
wound,blessure,73
wounded,blessés,40
wrath,colère,57
wretch,misérable,59
write,écrire,125
written,écrit,35
wrong,faux,276
wrought,forgé,43
yield,rendement,143
yonder,là-bas,74
young,Jeune,467
yours,le tiens,256
yourself,toi même,280
youth,jeunesse,283
